,State,Adults with Long COVID,Adults Vaccinated,Adults Hispanic/ Latino (All Race),Adults American Indian and Alaskan Native,Adults Asian,Adults Black,Adults Native Hawaiian and Other Pacific Islander,Adults White,Adults with disability,Adults with hearing disability,Adults with vision disability,Adults with cognitive disability,Adults with ambulatory disability,Adults with self-care disability,Adults with independent living disability
0,Alabama,18.1,63.2,4.0,1.0,2.0,26.0,0.0,67.0,19.68,5.25,3.76,6.86,11.11,3.36,7.3
1,Alaska,16.5,75.7,7.0,14.0,7.0,3.0,1.0,63.0,16.04,6.24,2.79,5.29,6.93,2.27,4.91
2,Arizona,16.5,75.0,29.0,4.0,4.0,5.0,0.0,58.0,15.97,5.13,3.0,5.48,8.04,2.6,5.51
3,Arkansas,21.6,66.6,7.0,1.0,2.0,15.0,0.0,74.0,20.58,5.98,4.21,7.58,11.24,3.92,7.66
4,California,15.8,83.7,37.0,0.0,16.0,6.0,0.0,38.0,13.32,3.65,2.62,4.92,6.87,2.99,5.68
5,Colorado,15.4,82.7,20.0,1.0,3.0,4.0,0.0,70.0,13.23,4.57,2.51,4.82,5.76,1.94,4.4
6,Connecticut,15.1,91.6,15.0,0.0,5.0,10.0,0.0,68.0,13.85,3.88,2.56,4.96,6.84,2.58,5.54
7,Delaware,15.5,83.1,8.0,0.0,4.0,21.0,0.0,64.0,15.33,4.64,2.95,5.13,8.23,3.23,5.84
8,District of Columbia,6.6,95.0,,,,,,,13.52,2.51,2.54,4.88,7.61,2.4,4.25
9,Florida,14.9,79.3,26.0,0.0,3.0,14.0,0.0,55.0,15.74,4.61,3.04,5.36,8.5,3.01,5.81
10,Georgia,14.7,67.5,9.0,0.0,5.0,31.0,0.0,54.0,15.47,4.09,3.18,5.69,8.21,2.8,5.81
11,Hawaii,10.5,90.4,9.0,0.0,39.0,2.0,9.0,24.0,14.57,4.53,2.36,5.32,7.42,2.93,6.22
12,Idaho,17.0,67.8,11.0,1.0,2.0,1.0,0.0,83.0,16.85,5.97,3.32,6.4,7.8,3.06,5.46
13,Illinois,12.9,79.9,16.0,0.0,6.0,14.0,0.0,63.0,14.18,3.79,2.56,4.73,7.53,2.65,5.55
14,Indiana,16.4,67.9,6.0,0.0,3.0,9.0,0.0,80.0,16.46,4.83,3.07,5.73,8.44,2.83,5.94
15,Iowa,16.7,74.8,5.0,0.0,3.0,4.0,0.0,87.0,14.96,5.01,2.61,5.3,7.14,2.38,5.14
16,Kansas,17.9,76.1,11.0,1.0,3.0,6.0,0.0,78.0,16.11,5.18,2.79,6.07,7.78,2.48,5.57
17,Kentucky,14.3,69.7,3.0,0.0,2.0,8.0,0.0,85.0,21.1,6.24,4.47,7.86,11.57,4.04,8.15
18,Louisiana,13.9,65.9,5.0,1.0,2.0,31.0,0.0,60.0,19.34,5.4,4.56,7.1,10.25,3.91,7.12
19,Maine,13.7,91.6,2.0,1.0,1.0,1.0,0.0,94.0,17.89,5.85,2.29,7.22,8.35,2.63,6.38
20,Maryland,13.6,88.4,9.0,0.0,7.0,30.0,0.0,51.0,13.38,3.43,2.33,4.54,6.9,2.3,4.81
21,Massachusetts,14.2,91.6,11.0,0.0,7.0,7.0,0.0,73.0,13.44,3.71,2.26,5.04,6.48,2.55,5.27
22,Michigan,14.3,71.5,5.0,1.0,3.0,13.0,0.0,77.0,16.4,4.59,2.62,6.03,8.34,2.93,6.31
23,Minnesota,13.6,81.3,5.0,1.0,5.0,6.0,0.0,81.0,13.66,4.35,1.96,5.28,5.88,2.3,5.06
24,Mississippi,16.2,64.1,3.0,0.0,1.0,36.0,0.0,58.0,21.72,5.62,5.06,7.89,12.55,3.97,8.15
25,Missouri,13.5,68.6,4.0,0.0,2.0,11.0,0.0,81.0,17.75,5.25,3.27,6.54,9.03,2.96,6.43
26,Montana,15.9,68.2,4.0,5.0,1.0,1.0,0.0,88.0,16.84,6.52,3.05,5.96,7.7,2.71,5.66
27,Nebraska,12.9,77.2,10.0,1.0,3.0,5.0,0.0,81.0,15.34,5.05,2.97,5.23,7.14,2.21,4.97
28,Nevada,13.5,74.3,27.0,1.0,9.0,9.0,1.0,50.0,15.62,4.75,3.32,5.29,8.24,2.92,5.42
29,New Hampshire,12.3,80.4,4.0,0.0,3.0,1.0,0.0,90.0,13.98,4.45,2.41,5.13,6.21,2.14,4.93
30,New Jersey,13.6,89.1,20.0,0.0,10.0,13.0,0.0,56.0,12.46,3.31,2.48,4.02,6.63,2.67,5.12
31,New Mexico,15.2,85.2,47.0,9.0,2.0,2.0,0.0,40.0,19.55,6.45,3.92,7.16,9.93,3.84,7.45
32,New York,14.4,90.7,18.0,0.0,9.0,14.0,0.0,57.0,14.09,3.45,2.53,5.0,7.63,3.03,6.1
33,North Carolina,16.0,77.5,8.0,1.0,3.0,21.0,0.0,65.0,16.07,4.68,3.11,5.61,8.55,2.87,5.83
34,North Dakota,16.2,69.3,4.0,4.0,2.0,3.0,0.0,86.0,15.26,5.46,2.93,5.14,7.05,2.27,4.73
35,Ohio,12.7,69.7,4.0,0.0,3.0,12.0,0.0,80.0,16.78,4.72,2.95,6.11,8.62,2.78,6.0
36,Oklahoma,17.2,72.1,10.0,8.0,2.0,7.0,0.0,68.0,20.95,6.64,4.8,7.24,10.99,3.32,7.22
37,Oregon,13.7,81.1,12.0,1.0,5.0,2.0,0.0,77.0,17.66,5.47,2.93,7.14,8.16,3.19,6.67
38,Pennsylvania,14.6,82.7,7.0,0.0,4.0,10.0,0.0,77.0,15.97,4.47,2.83,5.87,8.15,2.79,6.12
39,Rhode Island,17.1,95.0,15.0,0.0,3.0,6.0,0.0,74.0,15.63,3.87,2.72,5.85,7.64,2.86,6.13
40,South Carolina,15.4,69.5,5.0,0.0,2.0,25.0,0.0,66.0,16.89,4.44,3.39,5.76,9.03,3.21,6.15
41,South Dakota,15.5,78.3,4.0,7.0,2.0,2.0,0.0,84.0,15.56,5.3,2.33,4.8,7.46,2.35,5.05
42,Tennessee,18.0,66.2,5.0,0.0,2.0,16.0,0.0,76.0,17.73,5.3,3.69,6.51,9.54,3.12,6.62
43,Texas,16.9,73.9,37.0,0.0,5.0,12.0,0.0,44.0,14.55,4.2,3.26,5.04,7.51,2.68,5.17
44,Utah,18.0,79.8,13.0,1.0,3.0,1.0,1.0,79.0,12.97,4.1,2.3,5.42,5.25,1.74,4.45
45,Vermont,12.1,91.4,2.0,0.0,2.0,1.0,0.0,93.0,15.71,5.43,2.31,6.15,6.53,2.39,5.46
46,Virginia,13.5,85.3,9.0,0.0,7.0,19.0,0.0,63.0,14.61,4.25,2.87,4.96,7.59,2.73,5.37
47,Washington,14.0,85.4,11.0,1.0,10.0,4.0,1.0,69.0,15.53,4.87,2.57,6.1,7.21,2.63,5.63
48,West Virginia,17.6,68.9,2.0,0.0,1.0,4.0,0.0,92.0,22.12,6.77,4.05,8.04,12.32,4.63,8.49
49,Wisconsin,16.6,77.5,6.0,1.0,3.0,6.0,0.0,83.0,14.07,4.36,2.23,5.02,6.55,2.47,5.12
50,Wyoming,17.4,63.2,9.0,2.0,1.0,1.0,0.0,85.0,16.78,6.28,3.22,5.65,7.52,2.36,5.33
